Project_ID,Sector,Region,Owner_Agency,Start_Year,End_Year,Planned_Budget,Funding_Approved,Funding_Received,Inflation_Rate,Inflation_Index,Feasibility_Score,Sustainability_Score,Public_Benefit_Score,Stakeholder_Priority,Schedule_Risk,Cost_Risk,Environmental_Risk,Policy_Risk,Funding_Delay_%,Actual_Cost,Delay_Months,ROI_Realized,Priority_Category
1,Public Works,Central,Municipal,2018,2021,46952498.44950247,42257248.604552224,40144386.17432461,2.6559945203362028,1.032323344486728,62.81945911297197,57.659541126403376,68.27403466406966,3,73.66176145774935,65.80892009394567,61.66458062236836,51.164675954366416,13.727299868828403,54139794.41012065,8.492424581163867,8.963582428278723,Low
2,Education,West,Central,2018,2021,52553889.17437205,47298500.256934844,44933575.2440881,2.792144648535218,1.0446544737317478,60.554487413172254,51.37160330175998,70.64526911140862,3,69.56069984217037,67.28140769114411,57.59739025726688,55.11387550730889,13.682096494749166,61227736.42784416,9.430915360304029,8.883446208812314,Low
3,Water,South,Central,2018,2021,45019025.98745735,40517123.38871162,38491267.21927603,3.1832635188254583,1.0543998663113048,61.53216846190591,54.40124699592996,68.24764997720914,3,73.33194911736165,62.386917228062174,59.12848486058593,52.4578887023045,15.270801311279966,52294117.04436614,9.849725571226127,8.982433549219111,Low
4,Water,West,State,2018,2020,49362345.24166725,44426110.71750052,42204805.18162549,3.020834260025824,1.068446880973974,62.79153184358483,55.85627398149348,68.65599509213526,4,73.44533848678151,66.97856088109904,60.31753705911264,55.69400932531079,14.18509402281633,59019383.95266885,7.988736491944112,8.934506572243693,Low
5,Transportation,West,Municipal,2018,2022,59082249.70331959,53174024.73298763,50515323.49633824,3.2712703466859456,1.0329617860693636,58.98538814911589,51.50846680228819,68.86589393029398,4,68.58465728544273,61.92695247620104,62.904827407004746,55.98638501462047,14.300733288106988,70176263.19042331,8.850649707452051,8.951362671427503,Low
6,Energy,North,Municipal,2018,2022,65194089.425189614,58674680.48267066,55740946.458537124,3.0612771975694963,1.0608386871981825,57.647348561959824,51.25143348549388,70.81846246758268,4,69.9379559636439,65.18186263505595,59.4203281468684,51.203353013952764,14.257423924305307,78949847.55467714,9.494780729683573,8.867746801630403,Low
7,Education,East,Central,2018,2020,46754939.43774609,42079445.49397148,39975473.219272904,2.6612212872540044,1.067187906093703,58.119420353316215,58.140471987919824,70.2360534514939,3,73.08120379564417,66.06723005208339,62.971684721501745,57.429376615192915,16.22976062065625,58174752.29196163,8.972059390378657,8.886034111360473,Low
8,Transportation,North,Municipal,2018,2021,58071756.3831005,52264580.74479045,49651351.70755093,2.506952130531191,1.0504298921031028,62.65745822347512,53.58562345616604,70.1127437304602,5,69.17411003148779,62.77686248376584,56.95892293866946,53.70092137122902,15.81207583558071,68656228.14981769,9.870488501848712,9.007482378620434,Low
9,Water,East,Central,2018,2020,53042678.11807636,47738410.30626873,45351489.79095529,3.4766149558326527,1.0464414805327293,60.185607499902815,54.58226531658473,70.31735853442797,3,65.33050732900548,63.76056998421346,61.07481075761091,56.44564361243813,15.370786895517574,61480656.14954409,8.257675235310113,8.971441652038326,Low
10,Education,West,State,2018,2022,53581680.99665759,48223512.89699183,45812337.252142236,3.335302495589238,1.0428312025988695,57.09952697356714,55.09674446639425,68.35897465118762,2,66.86518510399854,61.326201132438115,60.72714354550593,56.42051489473826,15.5806911616378,61962741.49362465,9.070112467199039,8.957043517565458,Low
11,Water,North,Municipal,2018,2022,45401499.03134211,40861349.1282079,38818281.67179751,3.377339353380981,1.0403176651086063,58.45111374540271,51.74482214244719,72.38329454771996,5,71.5998404603418,67.53777760160973,60.4416064927957,55.237204626848055,16.60167222865332,54533271.70422293,8.965047399523215,8.8376941679365,Low
